Product,Bays
FS6400,24
FS3600,24
FS3410,24
FS3400,24
FS3017,24
FS2500,12
FS2017,24
FS1018,12
HD6500,60
SA6400,12
SA3610,12
SA3410,12
SA3400,12
SA3400D,12
SA3200D,12
DS224+,2
DS124,1
RS2423RP+,12
RS2423+,12
DS1823xs+,8
DS923+,4
DS723+,2
DS423+,4
DS423,4
DS223j,2
DS223,2
DVA1622,2
RS822+,4
RS822RP+,4
RS422+,4
DS3622xs+,12
DS2422+,12
DS1522+,5
RS4021xs+,16
RS3621xs+,12
RS3621RPxs,12
RS2821RP+,16
RS2421+,12
RS2421RP+,12
RS1221+,8
RS1221RP+,8
DS1821+,8
DS1621xs+,6
DS1621+,6
DVA3221,4
RS820+,4
RS820RP+,4
DS1520+,5
DS920+,4
DS720+,2
DS620slim,6
DS420+,4
DS420j,4
DS220+,2
DS220j,2
DS120j,1
RS1619xs+,4
RS1219+,8
RS819,4
DS2419+II,12
DS2419+,12
DS1819+,8
DS1019+,5
DS419slim,4
DS119j,1
DVA3219,4
RS3618xs,12
RS2818RP+,16
RS2418+,12
RS2418RP+,12
RS818+,4
RS818RP+,4
DS3018xs,6
DS1618+,6
DS918+,4
DS718+,2
DS418,4
DS418play,4
DS418j,4
DS218+,2
DS218,2
DS218play,2
DS218j,2
DS118,1
RS18017xs+,12
RS4017xs+,16
RS3617xs+,12
RS3617RPxs,12
RS3617xs,12
RS217,2
DS3617xsII,12
DS3617xs,12
DS1817+,8
DS1817,8
DS1517+,5
DS1517,5
RS18016xs+,12
RS2416+,12
RS2416RP+,12
RS816,4
DS916+,4
DS716+II,2
DS716+,2
DS416,4
DS416play,4
DS416j,4
DS416slim,4
DS216+II,2
DS216+,2
DS216,2
DS216play,2
DS216j,2
DS216se,2
DS116,1